id,label,size,tiers
0,waid,6359.726634,0
1,morrison,6147.97949,0
2,daniel,554.712854,0
3,hurwitz,88.904031,0
4,fridolfs,85.080469,0
5,casali,187.772019,0
6,snyder,2895.66538,0
7,layman,3168.656777,0
8,buccellato,245.959549,0
9,percy,62.95899,0
10,loeb,1387.3864,0
11,oneil,92.93541,0
12,dini,388.134865,0
13,nicieza,603.887576,0
14,cornell,34.398917,0
15,tomasi,278.339163,0
16,winick,63.614736,0
17,meltzer,801.690214,0
18,johns,5004.604689,0
19,azzarello,429.607767,0
20,millar,1692.339439,0
21,dematteis,31.6802,0
22,danjohnson,32.594553,0
23,dixon,36.460455,0
24,kelly,1042.661212,0
25,veitch,30.937814,0
26,byrneclaremont,224.86777,0
27,austen,310.608523,0
28,busiek,608.367979,0
29,harras,205.320784,0
30,king,595.691922,0
31,manapul,64.367935,0
32,orlando,41.017557,0
33,williams,480.486162,0
34,hitch,293.366298,0
35,kindt,423.258408,0
36,mcduffie,740.184414,0
37,wein,212.074277,0
38,burnett,252.931635,0
39,robinson,1089.330806,0
40,motter,29.956837,0
41,bermejo,136.982748,0
42,brubaker,818.833784,0
43,davis,166.385115,0
44,gaiman,1930.621596,0
45,krueger,696.793511,0
46,giffen,99.685614,0
47,pak,3485.190847,0
48,fawkes,65.603416,0
49,venditti,165.041452,0
50,conner,68.852176,0
51,wolfman,69.12319,0
52,diggle,279.165116,0
53,lobdell,720.471548,0
54,fisch,27.40959,0
55,perez,113.068791,0
56,jurgens,164.665825,0
57,mikejohnson,35.402279,0
58,romita,40.88824,0
59,yang,216.377378,0
60,soule,1677.656716,0
61,landis,70.826429,0
62,lemire,453.971262,0
63,verheiden,319.661084,0
64,lanning,22.113859,0
65,green,456.752986,0
66,abnett,282.137824,0
67,casey,401.259869,0
68,chemiss,28.929035,0
69,kolins,60.489665,0
70,levitz,187.037532,0
71,williamson,29.821562,0
72,croberson,70.105888,0
73,bunn,1171.477093,0
74,fialkov,565.129965,0
75,rucka,1352.844902,0
76,pfeifer,110.888251,0
77,heinberg,211.802899,0
78,picoult,151.299457,0
79,torres,92.211805,0
80,simone,1087.050233,0
81,remender,2945.957408,0
82,higgins,507.877752,0
83,hickman,7878.695375,0
84,johnston,682.150493,0
85,jonston,183.430849,0
86,spencer,2623.587523,0
87,jones,372.933024,0
88,vaughan,3028.568093,0
89,bendis,20118.892654,0
90,fraction,4539.028261,0
91,gillen,4050.419905,0
92,kimmonen,254.462711,0
93,ewing,1017.941661,0
94,humphries,958.44099,0
95,deconnick,693.313149,0
96,gage,506.916567,0
97,barbiere,293.02161,0
98,slott,1951.526775,0
99,coates,533.163748,0
100,liu,386.82767,0
101,edmondson,591.233508,0
102,stohl,42.47203,0
103,guggenheim,294.181094,0
104,rosenberg,307.388099,0
105,anon,126.528971,0
106,tieri,189.778852,0
107,jenkins,119.438994,0
108,hine,51.293664,0
109,david,446.228674,0
110,way,1338.635861,0
111,carey,3061.316752,0
112,aaron,2390.053312,0
113,keatinge,213.590772,0
114,latour,56.267939,0
115,duggan,188.642946,0
116,zdarsky,39.453242,0
117,2017,57.837732,0
118,claremont,49.756354,0
119,swierczynski,50.370537,0
120,spurrier,300.121581,0
121,cebulski,21.838691,0
122,kim,31.652529,0
123,milligan,33.112447,0
124,kyleyost,1675.075865,0
125,wells,191.128293,0
126,wood,214.511924,0
127,straczynski,61.898012,0
128,tamaki,130.314891,0
129,parker,423.739848,0
130,costa,459.022249,0
131,allor,54.00427,0
132,stern,71.716929,0
133,quesada,155.469237,0
134,grell,109.685331,0
135,laws,33.071754,0
136,jjmiller,65.365263,0
137,ricketts,19.708008,0
138,ellis,2341.666888,0
139,knauf,440.908622,0
140,vanlente,402.813849,0
141,ahearne,82.433861,0
142,warren,143.148233,0
143,sryan,89.331821,0
144,moore,112.324517,0
145,tobin,16.183057,0
146,caramagna,89.329887,0
147,meter,51.785934,0
148,lsimonson,330.607834,0
149,irvine,113.914835,0
150,taylor,445.816313,0
151,alanmoore,548.578643,0
152,young,318.046495,0
153,michelinie,94.398789,0
154,grevioux,111.52774,0
155,mccann,72.207153,0
156,bollers,57.852467,0
157,mckeever,23.796048,0
158,raicht,26.261766,0
159,henderson,23.287697,0
160,sable,30.27251,0
161,acguirre,39.243482,0
162,rodi,32.704363,0
163,suayan,37.215774,0
164,lindelof,80.965155,0
165,huston,17.40643,0
166,card,219.677199,0
167,whedon,410.879872,0
168,black,39.763609,0
169,hopeless,485.917692,0
170,alonso,37.92273,0
171,bemis,152.209911,0
172,gishler,274.841255,0
173,defilippis,734.900043,0
174,yost,180.332172,0
175,kalan,50.164519,0
176,kirkman,16.372889,0
177,nury,373.387354,0
178,bec,438.1568,0
179,Evil Superman,869.090031,1
180,The Zoo,1440.375177,1
181,Gotham,6408.815562,1
182,DC Crisis,2683.969896,1
183,The Watchtower,10685.330258,1
184,Metropolis,6245.747056,1
185,Trinity-DC,148.925051,1
186,Worlds Finest,3855.354913,1
187,Themyscira,2671.244904,1
188,Eververse,1326.761426,1
189,FDA,2200.008368,1
190,Chicago,507.877752,1
191,Armstice,840.468796,1
192,Midway City,846.970441,1
193,Manhattan,999.830941,1
194,Assassin's Guild,174.40265,1
195,The Womb,96.41302,1
196,Constantinople,46.997945,1
197,The Stack,115.034751,1
198,Bedlam,581.850489,1
199,Toronto,327.330738,1
200,Ottawa,417.729601,1
201,The Land of Milk and Honey,464.649599,1
202,Chicago Homicide,2264.880267,1
203,"Galaxy far, far away",995.712348,1
204,The Quiet,367.545439,1
205,The Pantheon,965.181505,1
206,Avengers Mansion,14083.139974,1
207,Super Professions,1941.658752,1
208,Space Cowboys,868.762476,1
209,NYC,6541.485357,1
210,Events,10522.126626,1
211,Stark Industries,8974.588451,1
212,The Mutant Menace,17460.508404,1
213,Hypotheticals,490.745341,1
214,The Baxter Building,1441.683552,1
215,Ultimate Universe,6611.282725,1
216,Attilan,163.789753,1
217,Green-eyed Monster,3740.621754,1
218,Marvelman,924.137524,1
219,Inhumans,276.309507,1
220,Asgardian Family Values,1412.677669,1
221,Occupied France,373.387354,1
222,Sagittarius A,422.339557,1
223,Stalinverse,380.173622,1
224,Exogenesis,438.1568,1
225,Lux,2241.270499,1
226,The Dreaming,1380.103288,1
227,The City,620.204431,1
228,The Whitehouse,1549.215216,1
229,The Snowflake,799.302767,1
